Qty,Reference(s),Value,Description,Mouser P/N,Reichelt P/N,Other
1,U2,CIA_U2,,,,
2,U3 U4,2364A,,,,
1,U5,2332A,,,,
1,U6,2114,,,,
1,U7,6510_MPU,,,,
1,U8,7406N,Logic IC – Hex inverter,595-SN74LS06N,,
8,U9 U10 U11 U12 U21 U22 U23 U24,4164-2,DRAM 1x64kb,,,
1,U13 U25,74LS257,,595-SN74LS257BN,,
1,U14,74LS258,,595-SN74LS258BN ,,
1,U15,74LS139,,595-SN74LS139AN,,
2,U16 U28,4066_U28,,595-CD4066BE,,
1,U17,PLA_U17,,,,
1,U18,6581,,,,
1,U19,VIC,,,,
1,U20,556,,595-NE556NE4,,
1,U26,74LS373,,595-SN74LS373N,,
1,U27,7408_U27,,595-SN74LS08N,,
1,U29,74LS74,,595-SN74LS74AN,,
1,U30,74LS193,,595-SN74LS193N,,
1,U31,74LS629N,,595-SN74LS629N ,,
1,U32,MC4044,,,,
1,VR1,7812,,926-LM2940CT-12/NOPB,,
1,VR2,7805,,511-L4941BV,,
1,XT1,NOT USED,,,,
1,Y1,Crystal,Crystals 17.73447MHz 30ppm HC-49 18pF,815-AB-17.734475-B4,"17,7344-HC49U-S",
C23,360 → 350,,,,,
